DrawNo,DrawDate,1stPrizeNo,2ndPrizeNo,3rdPrizeNo,SpecialNo1,SpecialNo2,SpecialNo3,SpecialNo4,SpecialNo5,SpecialNo6,SpecialNo7,SpecialNo8,SpecialNo9,SpecialNo10,ConsolationNo1,ConsolationNo2,ConsolationNo3,ConsolationNo4,ConsolationNo5,ConsolationNo6,ConsolationNo7,ConsolationNo8,ConsolationNo9,ConsolationNo10
048492,19921101,6616,3463,4331,4196,5771,6948,8055,3368,3223,8513,2911,9531,3332,9629,2698,2270,1709,2473,0190,8205,6679,7774,0227
048592,19921104,7207,4678,0119,4782,7590,9586,4806,7050,3923,6335,9204,2289,5019,0280,5380,5159,7640,3421,2547,2687,0371,6764,6077
048692,19921105,6825,8206,9852,1430,1422,5660,5462,3006,2208,4925,9934,1082,0306,2194,2476,8630,6038,4677,7381,4969,0124,9833,5746
048792,19921108,1367,9113,9992,5207,1194,8253,4201,2256,9067,1933,7827,2192,2966,6433,4872,1886,7558,9869,1151,5274,1033,1437,6343
048892,19921111,0109,7617,2392,8981,7419,7997,8559,5530,8945,8844,2262,6495,0389,2822,1311,3118,9865,0943,3641,4732,1276,0237,4972
048992,19921112,0711,4255,4153,0981,7321,0493,1972,0845,5005,8541,7412,1878,2383,0125,3490,2022,8008,9781,5554,1514,6198,4210,6921
049092,19921115,8333,1439,0647,9993,7587,8863,0869,4647,0539,3707,0375,6770,6514,3527,3980,2222,3121,7283,4334,3991,0053,2768,5366
049192,19921118,9410,6805,1449,5994,7151,0774,0156,7643,3563,3848,3915,9002,1718,4863,0719,8523,2638,6268,9547,3841,1561,0087,9097
049292,19921119,3826,4064,4121,9291,2432,3225,7602,0222,9442,2767,1148,3439,7148,1625,8786,2030,6115,4279,4915,3281,4169,0147,3064
049392,19921122,4293,9186,6214,6335,6865,7941,5117,4256,0758,7233,2255,3195,1915,7083,7136,0361,3671,4589,1589,0184,4538,5126,0932
049492,19921125,0668,9049,9605,6171,3453,2138,7394,2867,6589,0525,9661,7634,6649,1394,8112,7516,1290,7410,5297,8581,2048,4171,4497
049592,19921126,5078,9627,1351,6151,3195,6823,8002,3201,2917,8959,1083,6310,5839,6572,0110,6319,3802,2070,3838,0548,5898,5282,8721
049692,19921129,5393,5913,9341,5773,2380,7893,0997,5262,6618,3790,1993,2535,2402,8504,7593,8473,7577,8781,7405,1693,6895,0824,0065
049792,19921202,1409,7202,0011,6539,9684,0898,8560,6919,4150,0419,3788,2420,9849,8250,7080,3621,9590,0876,6812,2606,4465,6022,2369
049892,19921203,0448,0357,1042,1341,6660,0572,6809,7889,1601,1082,8715,6966,4944,5617,4089,3751,4690,7708,0457,0099,5154,3854,6237
049992,19921206,8048,7125,4813,2827,4912,7903,1162,2017,0155,2415,1713,5261,3285,1833,9927,5813,9727,1363,4025,2396,3434,2227,3977
050092,19921209,1038,9595,5756,4132,9657,7781,2410,4429,7568,5274,4064,3915,7791,6468,8690,9173,4332,4552,7020,3111,1892,1447,7286
050192,19921210,6098,3306,0625,8216,0229,6799,4473,6346,6349,5999,4162,4932,1811,0118,8015,9848,3421,8243,2311,2645,7587,4116,2087
050292,19921213,5954,1218,3491,8747,3657,3362,6573,2609,6794,9879,8912,8679,6640,5045,9191,9354,3206,7104,5825,6446,7444,7148,0675
050392,19921216,3548,4522,9887,3988,3036,2515,8507,2847,8547,8119,2886,1192,6981,6138,3901,0428,2094,2244,9763,4018,4425,2670,4872
050492,19921217,2965,2504,1062,6495,0552,3214,8153,7363,2373,9326,4551,8786,4832,6413,2536,7427,9690,4583,7270,0183,9087,5746,1080
050592,19921220,6714,9071,2305,7801,8888,1111,5942,9239,1933,4916,0220,1754,4431,3167,1243,5652,4620,3515,4339,1121,4077,1119,0473
050692,19921223,0380,7181,3423,4292,8092,5192,8567,0039,9834,2813,5520,3845,7517,5277,8822,2759,3209,0526,4505,9423,3576,4060,5018
050792,19921224,9811,1705,9379,8943,1297,7570,8391,8997,4655,8999,8320,9862,6947,3508,2266,6881,0474,6080,4042,1898,3058,6077,7418
050892,19921227,1138,9385,3115,1438,2409,2885,2519,6152,4821,6911,1230,4346,8028,6981,4570,3957,4888,4381,2831,6247,8462,6960,1532
050992,19921230,8716,6227,6441,2892,2350,3117,9211,0032,3937,0933,8680,6520,9098,0031,6856,3399,1750,1335,7641,6358,2752,7656,1575
051092,19921231,3859,3882,0584,1724,5314,5801,4948,6017,8761,3438,9593,7317,7600,7744,2804,5022,5077,9096,7126,5612,4066,1352,6050
051193,19930103,1856,7621,5066,0504,1920,3087,2532,7162,2060,2663,7145,3122,4865,6970,8825,6551,1526,9335,5989,4285,3962,4468,4699
051293,19930106,9482,3927,1682,7365,4686,4165,0728,4306,5981,4328,8930,2327,2853,0194,8975,0114,5301,9819,0412,5628,6012,4767,9387
051393,19930107,0372,1258,3861,7106,3904,5950,9799,5519,9076,0588,1047,4796,4188,1248,8437,3771,5875,3272,1710,3105,3893,4087,5433
051493,19930110,0361,1553,8701,5801,8888,8660,4222,5220,6868,3777,8355,6874,8778,9103,0909,5863,4597,5886,8625,6345,4369,6068,6740
051593,19930113,9846,4487,4848,0246,3958,7409,7034,6833,0051,3411,6648,3744,3582,3075,9865,6426,5609,6284,3157,5550,1540,5847,7140
051693,19930114,5025,9339,8132,8918,7360,2835,3943,8544,5597,0100,6175,1543,9381,6696,3980,2170,4530,1448,7031,7744,9826,0398,4158
051793,19930117,6966,5803,3928,3819,6305,9064,5155,8921,8998,6065,4476,0906,9978,5690,2265,2074,2832,7882,9875,1939,1804,9717,6066
051893,19930120,3175,2392,0220,4085,1144,8969,9437,3436,5241,8687,9955,9419,1150,7017,7381,8178,5082,3242,8946,5633,0153,5204,3314
051993,19930121,6318,3108,5239,7371,1443,1749,7434,3309,1277,7817,6599,4074,7312,7875,1403,4951,5420,5704,1485,3181,0119,5630,7934
052093,19930124,0368,4142,7780,6921,4388,8397,5334,7537,4800,0456,4575,8585,1892,9586,4868,7848,6495,2027,3766,6800,7150,9897,2997
052193,19930127,9915,3326,1970,4967,3041,8427,1501,7192,0746,0699,3773,4758,3525,6753,2753,9668,7900,5925,8881,9701,1302,0900,2542
052293,19930128,3984,0086,3794,5782,1751,7690,2886,4362,7890,5061,6125,5046,3267,5502,3898,3490,1486,1878,2517,9841,8797,9019,0492
052393,19930131,3360,0061,3871,7369,5597,3325,0534,8838,9606,7395,6762,1199,2411,3375,5597,7260,3202,1620,2895,3176,8909,6794,8382
052493,19930203,8177,3560,9605,8161,8113,3873,5998,6672,2493,1629,6413,7519,7282,3713,4751,0486,8422,8244,5315,9281,5400,8112,5278
052593,19930204,6294,7024,8973,4150,8665,4284,9259,8376,0696,2977,0379,0688,8880,9699,7934,5937,5343,8075,5630,6078,9530,3980,1846
052693,19930207,3840,2667,0292,8262,8329,1171,0808,4168,9527,6818,2940,0642,7059,9428,9774,3851,0335,0549,3433,1576,6541,6097,0916
052793,19930210,4751,6088,9598,2688,8767,7998,4037,8427,2219,5118,5624,7684,1989,8028,2249,3486,2069,0655,6744,2677,9287,6209,3665
052893,19930211,9460,9046,5193,1978,3913,4308,1481,9396,9211,8739,9763,4318,9935,8811,1673,5702,3556,9926,9887,9620,2805,4322,4783
052993,19930214,4814,6816,1842,4919,4800,1209,1150,3473,1658,5971,4189,8905,9168,7142,7095,9747,6263,3209,5276,5558,6611,7483,0297
053093,19930217,8519,9164,1078,6912,1994,8750,8032,5911,0412,5411,8442,9643,8607,1325,1346,2912,9154,2279,7442,6268,4106,7625,2454
053193,19930218,8093,6154,3844,1652,5713,1754,0231,6173,6760,0821,2227,0406,5531,5964,0740,7443,0008,4390,0445,8391,6871,3927,8925
053293,19930221,5632,2091,0207,5730,2618,0833,7537,7287,8488,5470,1582,1045,9865,0578,8072,7715,5392,9915,2308,6013,3528,5688,8835
053393,19930224,1709,8096,7273,7752,3726,4405,9508,8471,7967,2202,9449,8003,9615,7620,9898,2781,4022,1095,0368,8423,3489,7412,5722
053493,19930225,4506,5836,5441,2809,9288,6469,5603,3720,9059,7704,9479,9302,0256,0085,9960,0310,9210,5824,8462,8102,7434,7446,0627
053593,19930228,6123,4651,5731,5777,9834,8013,8384,7348,0162,5808,5839,5415,6133,2453,6290,4064,2453,3155,4576,7293,6435,0347,5109
053693,19930303,1821,4348,9582,7366,4277,5502,8906,6433,9269,3480,6412,5706,2372,3290,0615,4194,0784,7099,1392,6049,8303,4040,5392
053793,19930304,1381,0012,2411,3703,4077,1932,3105,1523,4482,3338,5598,0069,5627,6615,6046,0545,5390,8437,7467,9741,6544,1035,5537
053893,19930307,9443,0899,1010,7988,9939,5079,3208,1861,6741,7326,3126,4973,1002,0140,4767,8128,6798,8479,1338,5813,7258,1676,7698
053993,19930310,6326,7367,4778,7945,0480,4474,8193,0374,2668,3927,9915,4525,9411,8859,9927,7987,1438,3668,1630,9132,6240,1491,8849
054093,19930311,4087,5471,7403,7387,2379,8180,8296,4314,4326,4235,0642,7115,2744,8518,5432,3437,2754,2979,8345,3394,2883,4814,4525
054193,19930314,0475,1261,6157,3841,8479,6192,4288,6364,5763,3629,3105,5674,3592,8375,4652,0023,5736,9501,9761,2937,9008,2688,3132
054293,19930317,3420,3507,6738,5586,9323,2608,4994,3711,7579,0750,1690,4687,8485,2994,7550,4858,3423,0098,9426,1852,8759,2583,5247
054393,19930318,2256,7606,3623,2595,1157,1998,3933,0685,5931,5376,7624,6256,9488,4157,4398,8926,6964,1900,2077,8224,1317,7259,7964
054493,19930321,1518,1000,3067,7018,4033,7179,0377,8357,6463,5020,8101,4367,2736,8910,9102,5275,1530,4101,2648,7637,6050,8891,8299
054593,19930324,8845,5229,1619,5612,8394,0781,8660,9133,1956,3979,7695,2677,0967,7289,2808,5678,9366,8167,9386,8336,9370,1013,1915
054693,19930325,6756,5592,1994,9994,0547,8953,7079,2444,7053,2721,7132,6058,2901,0371,2688,5564,4299,9448,6406,6792,1826,5233,7727
054793,19930328,5857,3015,2676,9579,5504,7009,3892,8005,1921,2245,3481,9666,1958,1847,3351,9039,0395,1418,1219,3863,1453,6971,1495
054893,19930331,7687,2713,5892,3792,1007,5002,8541,8254,9153,4264,6619,2357,7764,9241,5713,4684,3403,7766,1740,2394,0829,1720,9949
054993,19930401,4310,5539,2030,5161,3542,2329,7926,0155,8770,3231,6457,7229,5499,8926,7937,6874,0269,9287,7105,0606,6852,8483,3402
055093,19930404,6554,7524,4177,9617,2720,0784,9676,1541,4970,2295,4201,8541,6343,2967,7357,9363,0364,9926,6266,5620,7784,4544,3895
055193,19930407,5892,3636,5735,4897,7184,5985,6622,6751,5966,7544,9180,9965,4839,1582,3679,1959,8689,6534,5757,5493,2540,2884,1318
055293,19930408,1690,5618,7727,1225,2003,9654,0487,2391,0176,8625,2830,5273,4651,0552,1417,9934,2083,2999,4894,6865,7049,9972,3423
055393,19930411,3681,5499,0237,2231,9496,4480,8565,3757,1564,1961,5857,1645,8354,4903,9773,7671,7278,4953,5734,3459,7150,0768,3979
055493,19930414,0918,0522,0970,0509,5747,6943,2734,0814,7974,5781,0694,7174,3063,5086,5165,3627,9319,9756,2189,9661,3636,6323,9475
055593,19930415,8249,1910,5766,9399,8972,0526,0419,2900,1001,1204,2973,4572,5225,7223,3212,4147,8007,9414,2776,4614,2469,5380,9481
055693,19930418,3832,9664,7312,6954,1409,5908,3201,5738,6403,0583,4705,5649,6611,2768,5550,7092,1570,6178,1944,7384,7118,3763,4691
055793,19930421,9336,9893,9351,5162,1987,5559,3722,3798,7094,4768,8457,2735,1281,4062,7103,4471,2444,0936,5824,9744,7474,7764,0602
055893,19930422,4328,4542,5316,9383,9283,1206,6499,9185,1791,9760,1711,1499,0040,2963,1267,0852,3058,5557,6872,5063,1606,4611,8338
055993,19930425,7856,4721,3262,0913,0408,1633,3605,8866,8269,8895,2589,6996,3189,1959,4484,5539,4186,0434,7175,0681,8511,3237,5026
056093,19930428,8714,1634,5369,5360,9630,6660,5729,3351,0735,1497,7672,4853,5494,1591,2532,3837,5306,0032,9540,4300,1193,2703,7856
056193,19930429,1458,2922,3006,7880,1522,7658,6328,6581,4142,2462,4363,4946,5919,7236,8459,3583,7085,7897,1280,0612,9930,8881,1213
056293,19930502,8627,4278,6020,7107,7094,7332,1361,9486,0043,7954,4590,6109,4888,4994,5977,8372,0786,8843,9784,6399,4258,5833,1439
056393,19930505,6605,4469,2371,3311,1206,0880,0460,7729,5367,6386,5723,4455,4665,2526,9665,5405,2028,7620,6883,6964,2242,1881,8779
056493,19930506,9214,8159,9197,1218,0849,0642,2602,2287,5302,8587,7505,6942,0658,0873,8317,7535,3838,0675,6900,4023,9080,8096,5818
056593,19930509,7011,8313,8254,7919,3305,8726,4644,3702,1697,5813,5255,7952,7735,8627,6296,1262,3633,1083,6187,4540,9424,9156,5180
056693,19930512,5773,8016,2249,8969,4104,0576,6554,7499,1195,4901,6889,4530,0784,6572,7568,5423,8203,4507,9776,0503,6485,5893,4100
056793,19930513,4258,1202,0506,4599,0452,9679,0458,2846,3062,7132,1145,4066,5798,2292,0088,1345,6318,4306,1595,4299,4416,7248,8044
056893,19930516,1819,6329,8163,2504,3049,3404,5689,9508,5335,0001,1841,9917,3354,5088,0779,0395,2667,7805,2514,8335,8493,3922,8309
056993,19930519,1634,5962,1023,0180,8931,9142,9547,8174,1051,1873,2892,7206,6790,3142,9141,0081,6991,9548,6414,0596,8081,5608,5558
057093,19930520,5060,7233,5534,5149,6035,1149,1868,5824,7780,8387,2970,1934,0761,7214,7815,4225,1714,8548,5053,9363,1871,6334,9519
057193,19930523,9365,7856,9954,6183,3979,0891,6641,0200,1160,8553,3827,7641,9362,7656,8194,7325,3957,0513,4323,5740,4977,4225,1929
